CoDExSmall	DBpedia50	Kinships	OpenEA	UMLS	
0.29	0.75	0.79	0.85	0.95	
0.46	0.78	0.89	0.95	0.47	
0.71	0.85	0.97	0.39	0.65	
0.66	0.96	0.35	0.66	0.74	
0.89	0.45	0.67	0.68	0.84	
0.22	0.64	0.80	0.85	0.98	
0.56	0.74	0.78	0.96	0.40	
0.78	0.86	0.96	0.51	0.69	
0.82	0.96	0.43	0.65	0.66	
0.70	0.42	0.58	0.76	0.84	
0.16	0.67	0.68	0.83	0.96	
0.08	0.70	0.81	0.97	0.39	
-0.15	0.85	0.97	0.49	0.58	
0.02	0.95	0.48	0.70	0.65	
0.17	0.45	0.66	0.78	0.82	
0.31	0.60	0.72	0.86	0.93	
0.55	0.69	0.83	0.97	0.45	
0.71	0.83	0.96	0.42	0.61	
0.74	0.96	0.44	0.68	0.80	
0.95	0.49	0.65	0.72	0.78	
0.41	0.70	0.74	0.81	0.97	
